Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.8339206,52.6619415,-6.5,11.6,26.9,31.6,49.1,1,2,0
5.8339212,52.6619505,-6.5,11.6,27,31.5,49.1,1,2,0
5.8339217,52.6619595,-6.5,11.6,27,31.5,49,1,2,0
5.8339223,52.6619685,-6.5,11.6,27,31.4,48.7,1,2,0
5.8339229,52.6619774,-6.5,11.6,27,31.3,48.5,1,2,0
5.8339235,52.6619864,-6.5,11.6,26.9,31.3,48.4,1,2,0
5.8339241,52.6619954,-6.5,11.6,26.7,31.4,48.4,1,2,0
5.8339246,52.6620044,-6.5,11.6,26.7,31.5,48.4,2,2,0
5.8339252,52.6620134,-6.5,11.7,26.9,31.7,48.4,2,2,0
5.8339258,52.6620223,-6.5,12.1,27.2,32,48.5,2,2,0
5.8339264,52.6620313,-6.6,12.3,27.7,32.2,48.5,2,2,0
5.833927,52.6620403,-6.6,12.7,28,32.5,48.2,2,2,0
5.8339275,52.6620493,-6.6,13,28.5,32.6,48,2,2,0
5.8339281,52.6620582,-6.6,13.5,28.8,33,47.7,2,2,0
5.8339287,52.6620672,-6.6,14.1,28.9,33.1,47.5,2,2,0
5.8339293,52.6620762,-6.6,14.5,29.3,33.3,47.4,2,2,0
5.8339299,52.6620852,-6.6,14.7,29.4,33.5,47.3,2,2,0
5.8339305,52.6620942,-6.6,14.7,29.5,33.6,47.4,2,2,0
5.833931,52.6621031,-6.6,14.7,29.5,33.9,47.4,2,2,0
5.8339316,52.6621121,-6.6,14.7,29.4,33.8,47.4,2,2,0
5.8339322,52.6621211,-6.6,14.5,29.4,33.7,47.4,2,2,0
5.8339289,52.6618424,-6.5,11.2,25.7,31.8,48.4,1,2,0
5.8339295,52.6618514,-6.5,11.2,25.7,31.8,48.7,1,2,0
5.8339301,52.6618604,-6.5,11.3,25.7,31.8,48.9,1,2,0
5.8339307,52.6618693,-6.5,11.3,25.8,31.8,48.9,1,2,0
5.8339313,52.6618783,-6.5,11.2,26,31.7,49,1,2,0
5.8339319,52.6618873,-6.5,11.3,26.4,31.7,49.1,1,2,0
5.8339324,52.6618963,-6.5,11.3,26.7,31.7,49.1,1,2,0
5.833933,52.6619053,-6.5,11.4,26.8,31.7,49.1,1,2,0
5.8339336,52.6619142,-6.5,11.4,26.9,31.7,49.1,1,2,0
5.8339342,52.6619232,-6.5,11.5,27,31.7,49.2,1,2,0
5.8339348,52.6619322,-6.5,11.5,27,31.7,49.2,1,2,0
5.8339353,52.6619412,-6.5,11.6,27.1,31.7,49.2,1,2,0
5.8339359,52.6619501,-6.5,11.7,27.1,31.7,49.2,1,2,0
5.8339365,52.6619591,-6.5,11.6,27.1,31.6,49.2,1,2,0
5.8339371,52.6619681,-6.5,11.6,27.1,31.6,49.1,1,2,0
5.8339377,52.6619771,-6.5,11.6,27,31.5,48.9,1,2,0
5.8339382,52.6619861,-6.5,11.6,26.9,31.5,48.6,1,2,0
5.8339388,52.661995,-6.5,11.6,26.7,31.5,48.5,1,2,0
5.8339394,52.662004,-6.5,11.5,26.7,31.6,48.4,1,2,0
5.83394,52.662013,-6.5,11.6,26.7,31.6,48.4,2,2,0
5.8339406,52.662022,-6.5,11.8,26.9,31.8,48.4,2,2,0
5.8339412,52.662031,-6.5,12,27.2,31.8,48.3,2,2,0
5.8339417,52.6620399,-6.6,12.3,27.5,32.1,48.2,2,2,0
5.8339423,52.6620489,-6.6,12.7,27.8,32.4,48,2,2,0
5.8339429,52.6620579,-6.6,13,28.3,32.6,47.8,2,2,0
5.8339435,52.6620669,-6.6,13.6,28.5,33,47.7,2,2,0
5.8339441,52.6620759,-6.6,14.1,28.8,33.2,47.6,2,2,0
5.8339446,52.6620848,-6.6,14.3,28.9,33.4,47.5,2,2,0
