Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.833939956,52.66201305,-6.5,11.6,26.7,31.6,48.4,2,2,0
5.833940676,52.66202199,-6.5,11.8,26.9,31.8,48.4,2,2,0
5.833941215,52.66203105,-6.5,12,27.2,31.8,48.3,2,2,0
5.833941755,52.66203988,-6.6,12.3,27.5,32.1,48.2,2,2,0
5.833942294,52.66204894,-6.6,12.7,27.8,32.4,48,2,2,0
5.833942834,52.66205788,-6.6,13,28.3,32.6,47.8,2,2,0
5.833943553,52.66206694,-6.6,13.6,28.5,33,47.7,2,2,0
5.833944093,52.66207588,-6.6,14.1,28.8,33.2,47.6,2,2,0
5.833944633,52.66208483,-6.6,14.3,28.9,33.4,47.5,2,2,0
5.833945172,52.66209377,-6.6,14.5,29.3,33.4,47.5,2,2,0
5.833945712,52.66210283,-6.6,14.5,29.3,33.5,47.5,2,2,0
5.833946431,52.66211177,-6.6,14.3,28.9,33.4,47.4,2,2,0
5.833946971,52.66212072,-6.6,14.1,28.7,33.3,47.4,2,2,0
5.83394751,52.66212966,-6.6,14.1,28.3,33.3,47.3,2,2,0
5.833943014,52.66183305,-6.5,10.9,25.7,31,48.3,1,2,0
5.833943733,52.66184199,-6.5,11.1,25.7,31.6,48.4,1,2,0
5.833944273,52.66185105,-6.5,11.2,25.7,31.7,48.4,1,2,0
5.833944812,52.66185999,-6.5,11.2,25.7,31.8,48.8,1,2,0
5.833945532,52.66186905,-6.5,11.3,25.8,31.8,48.9,1,2,0
5.833946071,52.66187799,-6.5,11.3,25.9,31.8,48.9,1,2,0
5.833946611,52.66188694,-6.5,11.3,26.4,31.8,49.2,1,2,0
5.833947151,52.66189588,-6.5,11.3,26.6,31.8,49.3,1,2,0
5.83394787,52.66190494,-6.5,11.4,26.8,31.8,49.3,1,2,0
5.83394841,52.66191388,-6.5,11.5,26.9,31.8,49.4,1,2,0
5.833948949,52.66192294,-6.5,11.5,27.1,31.9,49.4,1,2,0
5.833949489,52.66193177,-6.5,11.6,27.1,32,49.5,1,2,0
5.833950028,52.66194083,-6.5,11.7,27.2,32,49.5,1,2,0
5.833950748,52.66194977,-6.5,11.8,27.3,32,49.5,1,2,0
5.833951288,52.66195883,-6.5,11.8,27.3,32,49.5,1,2,0
5.833951827,52.66196777,-6.5,11.8,27.3,31.9,49.3,1,2,0
5.833952367,52.66197672,-6.5,11.7,27.1,31.7,49.2,1,2,0
5.833953086,52.66198566,-6.5,11.6,27,31.6,49,1,2,0
5.833953626,52.66199472,-6.5,11.6,26.9,31.7,48.9,1,2,0
5.833954165,52.66200366,-6.5,11.6,26.7,31.7,48.6,1,2,0
5.833954885,52.66201261,-6.5,11.5,26.7,31.8,48.4,2,2,0
5.833955245,52.66202155,-6.5,11.6,26.8,31.8,48.3,2,2,0
5.833955964,52.66203061,-6.5,11.8,27,31.8,48.2,2,2,0
5.833956504,52.66203955,-6.6,12.1,27.2,31.8,48.1,2,2,0
5.833957043,52.66204861,-6.6,12.3,27.5,32.1,48,2,2,0
5.833957763,52.66205755,-6.6,12.7,27.8,32.4,47.9,2,2,0
5.833958122,52.6620665,-6.6,13.1,28,32.8,47.8,2,2,0
5.833958842,52.66207555,-6.6,13.6,28.3,33.1,47.7,2,2,0
5.833959381,52.6620845,-6.6,14.1,28.7,33.2,47.6,2,2,0
5.833959921,52.66209355,-6.6,14.1,28.7,33.3,47.5,2,2,0
5.83396064,52.66210239,-6.6,14.1,28.7,33.3,47.5,2,2,0
5.83396118,52.66211145,-6.6,14.1,28.7,33.3,47.5,2,2,0
5.83396172,52.66212039,-6.6,14.1,28.3,33.3,47.4,2,2,0
5.833962259,52.66212945,-6.6,14.1,28.3,33.3,47.4,2,2,0
5.833956683,52.66181483,-6.5,10.7,25.6,31,48.2,1,2,0
5.833957223,52.66182366,-6.5,10.7,25.6,31,48.2,1,2,0
5.833957943,52.66183272,-6.5,10.8,25.6,31,48.3,1,2,0
5.833958482,52.66184166,-6.5,10.9,25.7,31.1,48.3,1,2,0
5.833959022,52.66185072,-6.5,11.2,25.7,31.5,48.4,1,2,0
5.833959561,52.66185955,-6.5,11.2,25.7,31.7,48.6,1,2,0
5.833960281,52.66186861,-6.5,11.3,25.8,31.8,48.9,1,2,0
5.83396082,52.66187755,-6.5,11.3,25.9,31.8,48.9,1,2,0
5.83396136,52.66188661,-6.5,11.3,26.2,31.8,49.2,1,2,0
5.833962079,52.66189555,-6.5,11.4,26.5,31.8,49.4,1,2,0
5.833962439,52.6619045,-6.5,11.5,26.8,31.9,49.4,1,2,0
5.833963159,52.66191345,-6.5,11.5,27,32,49.6,1,2,0
5.833963698,52.6619225,-6.5,11.5,27.1,32.1,49.8,1,2,0
5.833964238,52.66193145,-6.5,11.6,27.2,32.2,50,1,2,0
5.833964957,52.6619405,-6.5,11.8,27.3,32.2,50,1,2,0
5.833965497,52.66194945,-6.5,11.9,27.5,32.3,50,1,2,0
5.833966036,52.66195839,-6.5,11.9,27.7,32.5,50,1,2,0
5.833966576,52.66196745,-6.5,11.9,27.7,32.3,49.7,1,2,0
5.833967116,52.66197639,-6.5,11.8,27.3,32.1,49.5,1,2,0
5.833967835,52.66198545,-6.5,11.7,27.1,32,49.4,1,2,0
5.833968375,52.66199428,-6.5,11.7,26.9,32,49.2,1,2,0
5.833968914,52.66200334,-6.5,11.6,26.8,31.8,48.8,1,2,0
5.833969454,52.66201228,-6.5,11.5,26.7,31.8,48.5,1,2,0
5.833970173,52.66202134,-6.5,11.5,26.7,31.8,48.4,2,2,0
5.833970713,52.66203017,-6.5,11.6,26.9,31.8,48.3,2,2,0
5.833971252,52.66203923,-6.5,11.9,27.1,31.8,48.1,2,2,0
5.833971792,52.66204817,-6.6,12.1,27.3,32,48.1,2,2,0
5.833972332,52.66205723,-6.6,12.3,27.5,32.2,48.1,2,2,0
5.833973051,52.66206617,-6.6,12.7,27.8,32.5,48.1,2,2,0
5.833973591,52.66207512,-6.6,13.2,28,33,48,2,2,0
5.83397413,52.66208406,-6.6,13.8,28.3,33.1,47.7,2,2,0
5.83397485,52.66209312,-6.6,14,28.3,33.2,47.6,2,2,0
5.833975389,52.66210206,-6.6,14,28.3,33.3,47.5,2,2,0
5.833975929,52.66211112,-6.6,14,28.3,33.3,47.5,2,2,0
5.833976469,52.66211995,-6.6,14,28.3,33.3,47.4,2,2,0
5.833977188,52.66212901,-6.6,13.9,28.3,33.3,47.4,2,2,0
5.833977728,52.66213795,-6.6,13.7,28.3,33.3,47.3,2,2,0
5.833970893,52.66180545,-6.5,11,25.8,31.2,48.1,1,2,0
5.833971432,52.66181439,-6.5,10.7,25.6,31,48.1,1,2,0
5.833972152,52.66182345,-6.5,10.7,25.6,31,48.1,1,2,0
5.833972691,52.66183239,-6.5,10.8,25.7,31,48.2,1,2,0
5.833973231,52.66184134,-6.5,10.9,25.7,31,48.3,1,2,0
5.833973771,52.66185028,-6.5,11.1,25.7,31.3,48.4,1,2,0
5.83397431,52.66185934,-6.5,11.3,25.7,31.6,48.4,1,2,0
5.83397503,52.66186828,-6.5,11.3,25.8,31.8,48.8,1,2,0
5.833975569,52.66187734,-6.5,11.3,25.9,31.8,49,1,2,0
