X,Y,year,month,day,hr,min,sec,Hoogte,qual,speed(km/h,load(kg),tare(kg),conv.facto,beltspd(m/,workwidth(,yield(ton/,totalyield,point_weig,totalarea(,worktime(s,loadnr,loadweight,loadbelt(m,usertare(%,tarecorrec,tarecorre2,SampleID
5.83516564205977,52.6610391285872,2018,3,5,2.85,23.696,30.819,-4.35,4,6.407,23.729,21,30.117,0.24,2.063,53.202,46.653,1.777,0.991,2800.284,3,46.646,651.099,0,53.202,46.653,75
5.83524325355089,52.6609625452268,2018,3,5,2.946,23.165,34.823,-4.35,4,6.405,23.483,21,30.117,0.239,2.138,45.404,47.91,1.705,1.019,2879.274,3,47.915,670.062,0,45.404,47.91,76
5.83532086504204,52.6608859617323,2018,3,5,2.9,21.281,30.089,-4.35,4,6.401,23.609,21,30.117,0.239,2.178,47.349,46.208,1.853,0.981,2768.842,3,46.204,643.606,0,47.349,46.208,77
5.83539838660097,52.6608093781036,2018,3,5,2.843,23.033,32.071,-4.35,4,6.421,23.306,21,30.117,0.24,2.142,42.134,46.18,1.776,0.981,2769.572,3,46.18,643.699,0,42.134,46.18,78
5.83547590815991,52.6607327943407,2018,3,5,3,24.867,31.752,-4.35,4,6.444,23.346,21,30.117,0.24,2.112,43.328,49.607,1.589,1.058,2986.493,3,49.608,695.839,0,43.328,49.607,79
5.83555342971885,52.6606562104436,2018,3,5,2.895,22.903,28.456,-4.35,4,6.398,23.317,21,30.117,0.239,2.149,42.988,46.975,1.635,0.999,2817.292,3,46.975,655.183,0,42.988,46.975,80
5.83563104120996,52.6605796264124,2018,3,5,2.755,22.681,17.818,-4.35,4,6.428,22.991,21,30.117,0.24,2.174,35.474,44.505,1.542,0.944,2664.383,3,44.513,618.42,0,35.474,44.505,81
5.83570865270112,52.6605030422469,2018,3,5,2.859,24.262,19.555,-4.35,4,6.417,23.211,21,30.117,0.24,2.152,40.266,47.009,1.547,0.999,2822.167,3,47.007,656.337,0,40.266,47.009,82
5.83578617426005,52.6604264579473,2018,3,5,2.964,23.208,27.688,-4.35,4,6.413,22.872,21,30.117,0.24,2.145,33.818,48.24,1.456,1.026,2895.739,3,48.238,674.046,0,33.818,48.24,83
5.83586369581899,52.6603498735135,2018,3,5,2.889,22.034,32.726,-4.35,4,6.408,23.542,21,30.117,0.239,2.149,46.905,46.516,1.568,0.989,2784.924,3,46.515,647.358,0,46.905,46.516,84
5.83594130731011,52.6602732889455,2018,3,5,2.821,24.18,36.468,-4.35,4,6.386,23.578,21,30.117,0.24,2.184,46.683,46.533,1.691,0.99,2796.239,3,46.53,650.07,0,46.683,46.533,85
5.83601891880126,52.6601967042433,2018,3,5,2.946,22.904,35.392,-4.35,4,6.404,23.96,21,30.117,0.239,2.155,54.384,47.871,1.826,1.018,2873.557,3,47.87,668.642,0,54.384,47.871,86
5.83609644036019,52.6601201194069,2018,3,5,2.885,23.635,35.264,-4.35,4,6.329,23.769,21,30.117,0.251,2.164,53.601,47.294,1.543,1.006,2839.302,3,47.301,660.378,0,53.601,47.294,87
5.83617396191913,52.6600435344364,2018,3,5,2.826,21.825,29.339,-4.35,4,5.931,22.752,21,30.117,0.253,2.116,43.108,45.341,1.484,0.961,2708.051,3,45.351,628.941,0,43.108,45.341,88
5.83625157341025,52.6599669493317,2018,3,5,2.934,22.57,34.277,-4.35,4,4.241,17.473,21,30.117,0.197,2.135,27.775,47.88,1.277,1.016,2866.212,3,47.875,667.062,0,27.775,47.88,89
5.83632091114319,52.6598985462848,2018,3,5,2.599,22.269,39.667,-4.35,4,3.404,19.341,21,30.117,0.232,2.213,27.65,42.08,1.565,0.891,2515.661,3,42.068,582.869,0,27.65,42.08,90
5.83644726025567,52.6599456759881,2018,3,5,2.231,24.962,38.12,-4.35,4,2.473,22.523,21,30.117,0.225,2.25,69.821,31.748,0.514,0.674,1918.302,3,31.739,440.452,0,69.821,31.748,91
5.83637792815538,52.660014024095,2018,3,5,2.339,16.825,32.978,-4.35,4,3.924,21.97,21,30.117,0.227,2.25,59.791,31.988,0.398,0.683,1942.123,3,31.986,445.421,0,59.791,31.988,92
5.83630031666426,52.6600906091173,2018,3,5,2.389,15.168,36.887,-4.35,4,5.202,22.22,21,30.117,0.223,2.232,45.479,32.714,0.816,0.698,1987.998,3,32.714,456.264,0,45.479,32.714,93
5.83622279510533,52.6601671940053,2018,3,5,2.569,13.387,26.835,-4.35,4,6.284,23.697,21,30.117,0.236,2.213,48.143,34.795,1.745,0.742,2104.422,3,34.793,484.279,0,48.143,34.795,94
5.8361452735464,52.6602437787592,2018,3,5,2.283,16.597,29.203,-4.35,4,6.367,23.984,21,30.117,0.237,2.25,52.488,31.306,2.041,0.67,1912.91,3,31.31,438.123,0,52.488,31.306,95
5.83606766205525,52.6603203633789,2018,3,5,2.5,15.32,29.35,-4.35,4,6.389,23.532,21,30.117,0.237,2.188,45.004,34.832,1.958,0.744,2107.854,3,34.826,484.93,0,45.004,34.832,96
5.83599005056413,52.6603969478644,2018,3,5,2.406,15.252,36.03,-4.35,4,6.412,23.522,21,30.117,0.236,2.216,44.391,32.601,1.974,0.696,1982.382,3,32.596,454.773,0,44.391,32.601,97
5.8359125290052,52.6604735322157,2018,3,5,2.578,15.279,35.012,-4.35,4,6.395,23.324,21,30.117,0.237,2.25,40.825,36.409,1.877,0.774,2190.191,3,36.405,505.037,0,40.825,36.409,98
5.83583500744626,52.6605501164329,2018,3,5,2.333,16.191,20.732,-4.35,4,6.411,23.336,21,30.117,0.237,2.203,41.403,32.054,1.739,0.686,1954.514,3,32.056,447.844,0,41.403,32.054,99
5.8357573959551,52.6606267005158,2018,3,5,2.373,15.347,19.823,-4.35,4,6.396,23.616,21,30.117,0.237,2.224,46.254,32.184,1.598,0.69,1960.45,3,32.188,449.344,0,46.254,32.184,100
5.83567978446399,52.6607032844646,2018,3,5,2.535,16.083,27.51,-4.35,4,6.416,24.055,21,30.117,0.237,2.25,53.34,36.08,1.666,0.768,2172.64,3,36.076,500.747,0,53.34,36.08,101
5.83560226290505,52.6607798682792,2018,3,5,2.39,16.073,31.544,-4.35,4,6.419,23.732,21,30.117,0.237,2.213,48.256,33.155,1.957,0.709,2014.88,3,33.155,462.435,0,48.256,33.155,102
5.83552474134612,52.6608564519596,2018,3,5,2.381,15.321,34.287,-4.35,4,6.377,24.287,21,30.117,0.237,2.237,58.204,32.989,1.934,0.705,2003.813,3,32.988,459.736,0,58.204,32.989,103
5.83544721978719,52.6609330355059,2018,3,5,2.314,15.995,36.258,-4.35,4,6.389,23.841,21,30.117,0.236,2.25,49.868,31.621,2.067,0.678,1926.083,3,31.621,441.113,0,49.868,31.621,104
5.83536960829603,52.6610096189179,2018,3,5,2.496,16.312,22.261,-4.35,4,6.398,24.036,21,30.117,0.236,2.227,53.506,35.685,2.132,0.76,2151.132,3,35.689,495.328,0,53.506,35.685,105
5.83529199680491,52.6610862021958,2018,3,5,2.356,15.416,29.87,-4.35,4,6.412,24.05,21,30.117,0.237,2.157,55.397,32.613,1.998,0.696,1980.3,3,32.607,454.053,0,55.397,32.613,106
5.83521447524597,52.6611627853395,2018,3,5,2.43,16.685,31.529,-4.35,4,6.39,23.814,21,30.117,0.236,2.086,57.721,34.422,2.068,0.735,2082.15,3,34.42,478.548,0,57.721,34.422,107
5.83513695368705,52.661239368349,2018,3,5,2.468,16.422,37.417,-4.35,4,6.392,23.976,21,30.117,0.237,2.22,52.851,35.567,2.081,0.757,2143.247,3,35.574,493.316,0,52.851,35.567,108
5.83505935906703,52.6613159508174,2018,3,5,2.303,17.619,30.108,-4.35,4,6.395,24.205,21,30.117,0.236,2.25,56.348,32.658,2.095,0.698,1978.368,3,32.659,453.543,0,56.348,32.658,109
5.83498180376583,52.6613925343724,2018,3,5,2.583,16.191,21.197,-4.35,4,6.39,23.755,21,30.117,0.237,2.193,49.08,37.553,2.076,0.799,2255.242,3,37.557,520.177,0,49.08,37.553,110
5.83490420914584,52.6614691165724,2018,3,5,2.433,16.747,20.845,-4.35,4,6.417,23.963,21,30.117,0.237,2.228,52.212,35.094,2.197,0.746,2112.649,3,35.089,485.895,0,52.212,35.094,111
5.8348266875869,52.6615456990452,2018,3,5,2.262,18.032,24.769,-4.35,4,6.382,24.045,21,30.117,0.236,2.25,53.546,32.149,2.194,0.686,1946.383,3,32.144,445.774,0,53.546,32.149,112
5.83474916602797,52.6616222813838,2018,3,5,2.433,17.507,32.764,-4.35,4,6.38,23.961,21,30.117,0.237,2.215,53.231,35.754,2.084,0.76,2148.968,3,35.757,494.589,0,53.231,35.754,113
5.83467164446903,52.6616988635882,2018,3,5,2.617,16.032,36.61,-4.35,4,6.414,23.909,21,30.117,0.237,2.175,52.536,38.475,2.181,0.818,2305.862,3,38.474,532.245,0,52.536,38.475,114
5.8345941229101,52.6617754456585,2018,3,5,2.223,18.385,35.585,-4.35,4,6.425,23.983,21,30.117,0.236,2.25,52.177,31.744,2.189,0.677,1920.849,3,31.739,439.553,0,52.177,31.744,115
5.83451660135117,52.6618520275945,2018,3,5,2.442,17.74,22.904,-4.35,4,6.383,24,21,30.117,0.237,2.22,53.396,36.2,2.118,0.768,2170.39,3,36.197,499.654,0,53.396,36.2,116
5.83443907979223,52.6619286093964,2018,3,5,2.459,16.891,28.508,-4.35,4,6.362,23.732,21,30.117,0.256,2.21,53.374,35.949,2.053,0.764,2158.65,3,35.947,496.716,0,53.374,35.949,117
5.8343615582333,52.6620051910641,2018,3,5,2.413,17.811,32.693,-4.35,4,6.367,23.584,21,30.117,0.276,2.241,53.134,35.108,1.964,0.746,2107.229,3,35.112,484.352,0,53.134,35.108,118
5.83428403667436,52.6620817725976,2018,3,5,2.179,18.063,44.199,-4.35,4,5.457,22.807,21,30.117,0.256,2.25,38.798,31.832,2.301,0.678,1920.404,3,31.83,439.461,0,38.798,31.832,119
5.83420651511543,52.6621583539969,2018,3,5,2.475,14.502,20.581,-4.35,4,3.115,19.525,21,30.117,0.25,2.183,23.845,35.057,2.019,0.746,2117.6,3,35.056,486.781,0,23.845,35.057,120
5.83433286986055,52.6622054264001,2018,3,4.833,2.672,46.102,10.447,-4.35,4,3.368,16.338,21,30.117,0.205,2.25,5.439,32.588,1.844,1.037,2923.153,4.167,22.42,395.215,0,5.439,32.588,121
5.83441039141948,52.6621288450833,2018,3,4.724,3.788,46.918,31.689,-4.35,4,5.49,21.79,21,30.117,0.254,2.25,25.436,49.884,2.218,1.626,4542.987,4.931,33.059,592.598,0,25.436,49.884,122
5.83448791297842,52.6620522636323,2018,3,4.897,2.07,49.457,25.627,-4.35,4,6.337,23.445,21,30.117,0.273,2.25,50.001,27.089,2.013,0.79,2244.305,3.718,20.832,341.615,0,50.001,27.089,123
