X,Y,year,month,day,hr,min,sec,Hoogte,qual,speed(km/h,load(kg),tare(kg),conv.facto,beltspd(m/,workwidth(,yield(ton/,totalyield,point_weig,totalarea(,worktime(s,loadnr,loadweight,loadbelt(m,usertare(%,tarecorrec,tarecorre2,dosering
5.83427027704268,52.6621549672064,2018,3,4.836,3.255,36.52,22.54,-4.35,4,2.805,16.791,21,30.117,0.219,2.224,10.9,44.856,1.774,1.288,3607.882,4.148,34.851,561.82,0,10.9,44.856,360
5.83823934489969,52.6621100270055,2018,3,4,4.355,46.204,29.174,-4.35,4,6.719,23.711,21,30.117,0.239,2.246,46.625,26.761,1.635,0.595,1720.381,4.677,6.382,96.373,0,43.348,26.761,360
5.83701019401202,52.6620375342143,2018,3,4,6,14.629,29.328,-4.35,4,4.542,22.839,21,30.117,0.24,2.25,51.656,47.727,0.882,1.15,3231.283,6.055,5.026,91.236,0,46.402,47.727,360
5.83397404037867,52.6620740817245,2018,3,5,2,17.222,33.037,-4.35,4,3.142,22.462,21,30.117,0.24,2.25,52.446,27.437,1.104,0.582,1680.354,3,27.43,381.904,0,52.446,27.437,360
5.83789868198747,52.6619573498165,2018,3,4,4.555,27.406,23.202,-4.35,4,6.509,24.035,21,30.117,0.238,2.247,52.795,23.421,1.89,0.52,1494.861,4.244,8.502,126.175,0,49.363,23.421,360
5.83730643176821,52.6619120237637,2018,3,4,6,39.395,13.454,-4.35,4,6.437,23.753,21,30.117,0.24,2.25,48.803,64.17,1.595,1.495,4203.181,7.26,4.017,69.807,0,44.893,64.17,360
5.83656579633866,52.6619663077436,2018,3,4,8.833,12.083,54.208,-4.35,4,6.338,23.171,21,30.117,0.24,2.25,38.796,145.508,1.06,3.079,8578.483,10,24.066,332.367,0,39.025,145.508,360
5.83641772315041,52.6619842381257,2018,3,4,7,46,43.625,-4.35,4,6.383,23.488,21,30.117,0.24,2.25,44.138,111.375,1.896,2.383,6683.375,9,25.771,363.175,0,44.188,111.375,360
5.83389993624345,52.6619842456654,2018,3,4.5,6,49,36.104,-4.35,4,2.776,22.321,21,30.117,0.226,2.25,52.408,80.383,0.298,2.715,7563.488,6.5,49.903,930.863,0,52.408,80.383,360
5.83486266047592,52.6619129094124,2018,3,4,10,23.202,32.754,-4.35,4,6.305,23.871,21,30.117,0.235,2.25,50.854,194.228,2.597,4.206,11644.389,10,77.539,1056.13,0,62.657,194.228,360
5.83760266846168,52.6618401327286,2018,3,4,6.67,16.885,38.399,-4.35,4,6.454,23.942,21,30.117,0.24,2.25,51.986,80.452,2.046,1.77,4946.423,8.01,9.262,137.302,0,50.036,80.452,360
5.8340080690672,52.6618218846278,2018,3,4.042,10.583,50.961,18.437,-4.35,4,5.509,23.202,21,30.117,0.234,2.25,44.213,146.337,0.594,5.03,13950.493,9.708,87.876,1663.167,0,44.213,146.337,360
5.83413481467798,52.6616596260852,2018,3,4.229,8.708,50.803,27.9,-4.35,4,6.174,23.299,21,30.117,0.234,2.25,41.127,119.84,1.388,4.092,11369.24,8.396,72.829,1370.032,0,41.127,119.84,360
5.83882749207492,52.6617155840781,2018,3,4,5,59,29.542,-4.35,4,7.282,22.935,21,30.117,0.24,2.25,30.019,39.5,1.116,0.94,2639.95,5,16.883,272.95,0,26.875,39.5,360
5.83878961985362,52.6614493312682,2018,3,4,4.267,39.813,30.743,-4.35,4,6.601,23.74,21,30.117,0.239,2.209,48.076,19.544,1.823,0.44,1278.791,3.987,7.645,116.209,0,44.85,19.544,360
5.83579579701362,52.6609691715353,2018,3,4.248,8.035,30.075,29.595,-4.35,4,6.339,23.769,21,30.117,0.234,2.218,50.279,124.804,2.063,3.352,9308.98,8.262,54.831,919.62,0,52.421,124.804,360
5.83567713260679,52.6612120446515,2018,3,4.248,8.035,30.075,29.595,-4.35,4,6.339,23.769,21,30.117,0.234,2.218,50.279,124.804,2.063,3.352,9308.98,8.262,54.831,919.62,0,52.421,124.804,360
5.83579570708141,52.6615979801306,2018,3,4.248,8.035,30.075,29.595,-4.35,4,6.339,23.769,21,30.117,0.234,2.218,50.279,124.804,2.063,3.352,9308.98,8.262,54.831,919.62,0,52.421,124.804,360
5.83761755359952,52.6611847684145,2018,3,4,6.953,24.971,29.5,-4.35,4,6.395,24.061,21,30.117,0.241,2.233,55.106,94.936,2.131,2.058,5754.925,8.463,12.577,178.812,0,53.857,94.936,360
5.83733593095513,52.6612117629857,2018,3,4,6.953,24.971,29.5,-4.35,4,6.395,24.061,21,30.117,0.241,2.233,55.106,94.936,2.131,2.058,5754.925,8.463,12.577,178.812,0,53.857,94.936,360
5.83729145952943,52.661005090664,2018,3,4,6.953,24.971,29.5,-4.35,4,6.395,24.061,21,30.117,0.241,2.233,55.106,94.936,2.131,2.058,5754.925,8.463,12.577,178.812,0,53.857,94.936,360
5.83582529477618,52.6615261170711,2018,3,4,9.083,49.833,48.383,-4.35,4,6.414,23.917,21,30.117,0.236,2.25,51.174,179.957,2.021,3.779,10511.387,10,58.544,789.551,0,51.202,179.957,360
5.83816528713798,52.6612300994582,2018,3,4,6.341,24.856,28.342,-4.35,4,6.553,23.725,21,30.117,0.24,2.21,47.913,71.99,1.924,1.593,4457.263,7.579,6.485,98.876,0,46.082,71.99,360
5.83928607768039,52.6612655975054,2018,3,4,5.05,54.967,50.05,-4.35,4,7.003,22.719,21,30.117,0.242,2.25,26.75,39.291,1.4,0.94,2623.435,5,16.653,268.779,0,23.926,39.291,360
5.83730634220082,52.6612294408073,2018,3,4,8.104,12.972,36.29,-4.35,4,6.393,24.582,21,30.117,0.24,2.25,64.052,127.128,2.232,2.696,7516.56,9.679,17.227,236.534,0,63.979,127.128,360
5.83924667545607,52.6611128762957,2018,3,4,4.177,32.896,21.294,-4.35,4,5.622,21.366,21,30.117,0.251,2.184,22.583,17.475,1.57,0.374,1101.824,3.962,5.068,72.281,0,21.23,17.475,360
